Date,Open,High,Low,Close,Volume
2016-01-04,100.71,101.55,99.03,101.52,1429310.0
2016-01-05,101.18,101.94,100.1,100.61,670610.0
2016-01-06,99.1,99.56,97.02,97.92,1400820.0
2016-01-07,96.08,96.39,93.22,93.43,1859963.0
2016-01-08,94.15,95.4899,93.22,93.47,1245986.0
2016-01-11,94.02,94.57,92.45,93.45,1435527.0
2016-01-12,94.76,94.97,92.75,94.32,1089518.0
2016-01-13,94.78,95.5,92.64,92.97,1382211.0
2016-01-14,93.37,94.26,91.3,92.59,1509130.0
2016-01-15,89.9,92.42,89.48,91.68,1537660.0
2016-01-19,92.63,92.85,89.851,91.26,1690256.0
2016-01-20,89.47,90.75,87.525,89.71,2139688.0
2016-01-21,90.59,91.51,88.11,90.06,1326414.0
2016-01-22,91.45,92.46,89.94,91.58,883342.0
2016-01-25,91.46,91.83,89.68,90.66,1380793.0
2016-01-26,91.42,95.42,91.13,94.47,2477716.0
2016-01-27,92.07,97.46,91.99,93.87,2249986.0
2016-01-28,93.86,94.575,92.15,93.13,1703598.0
2016-01-29,93.55,95.74,92.7,95.57,1306749.0
2016-02-01,94.36,95.2,92.92,94.47,1417993.0
2016-02-02,93.12,93.8,92.07,92.73,1539134.0
2016-02-03,93.79,95.17,91.86,95.06,1445114.0
2016-02-04,95.31,101.67,95.31,98.64,2654451.0
2016-02-05,98.63,99.74,97.38,98.83,2336353.0
2016-02-08,97.62,98.09,95.92,97.4,1104791.0
2016-02-09,96.01,98.1,95.81,97.27,1033921.0
2016-02-10,97.58,98.32,95.42,95.55,897271.0
2016-02-11,92.93,95.01,91.65,93.99,1135741.0
2016-02-12,95.25,96.7,93.98,96.33,1431581.0
2016-02-16,97.62,101.07,96.34,100.26,1555848.0
2016-02-17,101.05,102.78,101.05,102.25,1346409.0
2016-02-18,102.5,103.15,101.5,101.92,897494.0
2016-02-19,101.26,102.05,99.67,101.6,1010760.0
2016-02-22,102.9,105.4,102.68,105.07,1963960.0
2016-02-23,104.36,105.2899,102.62,102.66,1042797.0
2016-02-24,101.39,102.57,99.94,102.41,976806.0
2016-02-25,102.45,104.06,101.94,104.04,935158.0
2016-02-26,104.79,105.445,104.26,104.88,849163.0
2016-02-29,104.87,105.81,104.08,104.09,849432.0
2016-03-01,105.11,107.6,104.5,106.8,962826.0
2016-03-02,106.67,107.43,104.28,107.34,989590.0
2016-03-03,107.5,107.75,105.72,106.98,889776.0
