Date,Open,High,Low,Close,Volume
2016-01-04,58.57,59.07,58.24,58.95,2997968.0
2016-01-05,59.08,59.21,58.01,58.97,2534567.0
2016-01-06,58.66,58.77,58.0,58.58,3351589.0
2016-01-07,58.03,58.63,57.97,58.29,2960726.0
2016-01-08,58.33,58.7,58.18,58.28,2360418.0
2016-01-11,58.46,59.36,58.27,59.2,4396215.0
2016-01-12,59.28,59.57,58.34,59.4,2221745.0
2016-01-13,59.9,60.2,59.24,59.38,1806317.0
2016-01-14,59.45,60.055,58.89,59.55,2109732.0
2016-01-15,58.7,59.48,58.59,59.12,2988343.0
2016-01-19,59.45,60.31,59.08,60.12,3264685.0
2016-01-20,59.77,60.18,58.24,59.01,3095826.0
2016-01-21,59.03,59.494,58.48,58.72,2045645.0
2016-01-22,58.83,59.88,58.45,59.73,2022356.0
2016-01-25,59.8,60.01,59.21,59.92,2124890.0
2016-01-26,60.3,61.31,60.23,60.7,2813297.0
2016-01-27,60.9,61.17,60.05,60.5,1402567.0
2016-01-28,60.33,62.11,60.01,61.56,1894862.0
2016-01-29,62.07,62.34,61.48,61.8,4771180.0
2016-02-01,61.81,62.47,61.49,62.23,3546887.0
2016-02-02,62.01,62.81,61.68,62.72,3614856.0
2016-02-03,62.91,64.48,62.77,64.07,3935965.0
2016-02-04,63.89,64.31,62.88,63.07,2506248.0
2016-02-05,63.19,63.68,62.17,63.29,2498843.0
2016-02-08,63.34,64.3,62.65,62.9,2181811.0
2016-02-09,63.0,63.75,62.72,63.4,2737549.0
2016-02-10,63.2,63.87,62.29,63.51,1492850.0
2016-02-11,63.19,63.61,62.32,62.35,2167189.0
2016-02-12,62.18,62.65,61.51,61.76,3337332.0
2016-02-16,61.93,62.47,61.5,62.38,2100135.0
2016-02-17,62.41,62.71,61.77,62.53,1870938.0
2016-02-18,62.48,64.01,62.37,63.7,1738712.0
2016-02-19,63.63,63.65,62.83,62.89,2678338.0
2016-02-22,63.24,64.25,62.98,64.24,2110206.0
2016-02-23,63.96,65.29,63.6,64.98,3137231.0
2016-02-24,66.75,68.37,66.55,67.83,6781660.0
2016-02-25,67.83,69.235,67.71,68.79,4013986.0
2016-02-26,68.63,68.78,67.06,67.26,2971174.0
2016-02-29,67.2,68.8,67.02,68.16,2784054.0
2016-03-01,68.75,68.88,66.51,66.88,3601329.0
2016-03-02,66.76,67.09,65.6,66.97,2851514.0
2016-03-03,67.1,67.46,66.38,67.42,2379685.0
2016-03-04,66.81,67.93,66.55,67.71,2049363.0
2016-03-07,67.84,68.73,67.395,68.56,2046280.0
2016-03-08,68.72,69.36,68.28,69.1,2772452.0
2016-03-09,69.07,69.99,68.845,69.75,2455647.0
2016-03-10,69.56,69.9,69.1,69.76,1898947.0
2016-03-11,70.0,70.78,69.95,70.4,2991451.0
2016-03-14,70.24,70.465,69.81,70.14,1659318.0
2016-03-15,70.18,70.7,69.84,70.03,2061204.0
2016-03-16,70.03,70.93,69.175,70.68,1732070.0
2016-03-17,70.69,71.52,70.5,71.25,1523822.0
2016-03-18,71.52,71.64,70.59,71.43,4017824.0
2016-03-21,71.15,71.79,70.54,71.38,1163014.0
2016-03-22,71.5,71.85,70.85,70.96,2079314.0
2016-03-23,71.05,71.84,70.7,71.59,1782029.0
2016-03-24,71.42,71.93,70.83,71.34,2127663.0
2016-03-28,71.42,71.67,70.73,71.32,1497796.0
2016-03-29,71.09,72.18,70.87,72.11,1878626.0
2016-03-30,72.07,72.34,71.56,71.6,1740014.0
2016-03-31,71.83,72.0727,71.34,71.89,1767690.0
2016-04-01,71.35,72.41,71.0,71.94,2464201.0
2016-04-04,72.0,72.38,71.03,71.83,2116910.0
2016-04-05,71.73,71.87,70.35,70.44,2511647.0
2016-04-06,70.36,70.63,69.94,70.36,1454895.0
2016-04-07,70.3,70.81,70.02,70.2,1964573.0
2016-04-08,70.38,71.26,70.255,70.69,982054.0
2016-04-11,70.75,71.25,70.43,70.56,1260341.0
2016-04-12,70.54,71.06,70.11,70.99,1820432.0
2016-04-13,71.08,71.11,69.69,70.07,2095096.0
2016-04-14,69.95,70.51,69.67,70.04,1583798.0
2016-04-15,70.11,71.19,70.11,71.06,1578457.0
2016-04-18,70.13,71.08,69.85,71.06,1390301.0
2016-04-19,71.21,71.48,70.72,71.42,1502724.0
2016-04-20,71.39,71.5,69.42,69.51,1261776.0
2016-04-21,69.35,69.385,67.71,68.0,1531717.0
2016-04-22,68.32,68.84,68.305,68.65,1154874.0
2016-04-25,68.62,68.75,68.21,68.72,1422698.0
2016-04-26,68.83,69.27,68.65,68.83,1297101.0
2016-04-27,69.11,70.36,68.84,69.98,1486492.0
2016-04-28,69.27,70.22,69.0111,70.11,1264457.0
2016-04-29,69.6,70.72,69.27,70.71,2104953.0
2016-05-02,70.78,71.69,70.39,71.44,2311051.0
2016-05-03,71.26,71.94,70.49,71.67,2445181.0
2016-05-04,71.48,73.15,71.255,72.76,2329906.0
2016-05-05,72.76,73.25,71.88,72.3,1571980.0
2016-05-06,72.25,72.25,71.18,71.99,1644712.0
2016-05-09,72.13,72.66,71.85,72.59,923930.0
2016-05-10,72.63,72.63,70.83,71.32,3237522.0
2016-05-11,71.6,72.02,71.17,71.97,2220234.0
2016-05-12,71.96,72.3,71.6,71.94,1865616.0
2016-05-13,71.87,71.99,71.13,71.41,1588423.0
2016-05-16,71.23,71.56,70.83,71.41,1581331.0
2016-05-17,71.24,71.48,69.816,70.11,1515423.0
2016-05-18,69.79,70.48,68.83,68.99,2180608.0
2016-05-19,68.8,69.58,68.47,69.58,1651397.0
2016-05-20,69.83,70.08,69.14,70.05,1476565.0
2016-05-23,70.1,70.16,69.16,69.22,1298674.0
2016-05-24,69.35,70.02,69.35,69.91,1103948.0
2016-05-25,69.78,70.01,69.2,69.77,1211784.0
2016-05-26,69.86,70.93,69.81,70.84,1167411.0
2016-05-27,70.96,71.17,70.465,70.78,1157836.0
2016-05-31,70.79,71.7,70.73,71.63,2173128.0
2016-06-01,71.51,71.85,71.235,71.57,1797445.0
2016-06-02,71.32,71.79,70.72,71.76,1532913.0
2016-06-03,72.43,73.0,72.38,72.53,1391748.0
2016-06-06,72.57,72.86,72.15,72.54,1339876.0
2016-06-07,72.53,72.9,72.21,72.44,1196885.0
2016-06-08,72.37,72.94,72.34,72.9,767363.0
2016-06-09,72.83,73.75,72.83,73.66,1344753.0
2016-06-10,73.67,74.11,73.48,73.96,1290495.0
2016-06-13,74.08,74.46,73.68,73.88,1550712.0
2016-06-14,73.87,74.11,73.16,74.08,1130049.0
2016-06-15,74.08,74.29,73.2,73.46,1132691.0
2016-06-16,73.63,74.15,73.59,73.92,923226.0
2016-06-17,73.85,74.15,73.22,74.12,1522794.0
2016-06-20,74.03,74.25,73.24,73.93,956451.0
2016-06-21,73.93,74.56,73.597,74.12,1151037.0
2016-06-22,74.38,74.38,73.745,73.84,1132357.0
2016-06-23,73.94,73.99,73.39,73.99,1072074.0
2016-06-24,73.33,75.37,73.21,74.59,2064998.0
2016-06-27,74.42,76.595,74.42,76.45,2407086.0
2016-06-28,75.82,76.175,74.66,76.04,2572568.0
2016-06-29,76.19,76.59,75.74,76.1,2142282.0
2016-06-30,75.91,77.71,75.71,77.67,3282790.0
2016-07-01,78.0,78.025,76.55,77.65,1606819.0
2016-07-05,77.78,78.69,77.58,78.55,2074595.0
2016-07-06,78.35,78.72,77.57,78.4,2471926.0
2016-07-07,78.01,78.01,76.77,77.04,1418478.0
2016-07-08,76.73,78.21,76.04,78.17,2351346.0
2016-07-11,77.76,78.07,76.89,77.99,1714357.0
2016-07-12,77.53,77.7,76.49,76.57,2370110.0
2016-07-13,76.92,77.44,74.45,77.41,2000240.0
2016-07-14,76.82,77.215,76.39,77.11,2005514.0
2016-07-15,77.33,77.62,76.81,77.18,1542845.0
2016-07-18,77.31,77.62,77.18,77.22,1395973.0
2016-07-19,77.27,77.415,76.815,77.11,1092194.0
2016-07-20,77.06,77.12,76.43,76.51,872063.0
2016-07-21,76.27,76.87,75.99,76.74,1850537.0
2016-07-22,76.77,77.66,76.47,77.64,1379859.0
2016-07-25,77.62,77.87,77.02,77.38,1008887.0
2016-07-26,77.19,77.44,76.65,76.86,1225585.0
2016-07-27,76.6,76.69,75.42,76.02,1873767.0
2016-07-28,76.09,76.74,76.06,76.45,1236316.0
2016-07-29,76.37,77.63,75.96,77.38,1614496.0
2016-08-01,77.04,77.4,76.8,77.05,1541849.0
2016-08-02,76.6,76.83,76.1499,76.56,1237446.0
2016-08-03,76.56,76.5799,75.69,75.98,1254170.0
2016-08-04,76.07,76.86,75.92,76.23,1343974.0
2016-08-05,75.7,75.95,74.89,74.99,1233638.0
2016-08-08,75.15,75.33,74.61,74.95,1265697.0
2016-08-09,74.97,75.6,74.79,75.3,892890.0
2016-08-10,75.33,75.58,75.034,75.11,1134440.0
2016-08-11,75.26,75.545,74.99,75.5,987920.0
2016-08-12,75.78,76.24,75.56,75.84,1194963.0
2016-08-15,75.82,75.98,74.51,74.56,1340355.0
2016-08-16,74.32,74.32,73.33,73.33,1659679.0
2016-08-17,73.4,74.43,72.64,74.24,2440779.0
2016-08-18,74.26,75.06,74.08,75.06,2114632.0
2016-08-19,74.78,74.93,73.76,74.21,1675874.0
2016-08-22,74.42,74.68,74.24,74.38,868199.0
2016-08-23,74.35,74.77,73.94,73.97,1066426.0
2016-08-24,73.85,74.08,73.32,73.99,979259.0
2016-08-25,74.04,74.23,73.59,73.65,1536734.0
2016-08-26,73.72,74.2,71.76,71.9,1984322.0
2016-08-29,72.04,72.85,72.04,72.81,1820021.0
2016-08-30,72.65,72.995,71.92,71.96,1004368.0
2016-08-31,72.02,72.74,71.74,72.72,1724596.0
2016-09-01,72.66,72.76,72.25,72.7,1509660.0
2016-09-02,73.05,73.88,72.75,73.7,1828807.0
2016-09-06,73.96,74.5,73.57,74.11,1592466.0
2016-09-07,74.0,74.04,73.52,73.77,1156342.0
2016-09-08,73.59,74.01,73.32,73.85,1254211.0
2016-09-09,73.17,73.27,71.31,71.4,2995568.0
2016-09-12,71.38,72.69,71.38,72.52,1685575.0
2016-09-13,72.34,72.53,71.35,71.63,2139192.0
2016-09-14,71.89,72.35,71.49,71.83,1611825.0
2016-09-15,71.65,72.32,71.46,72.2,1245484.0
2016-09-16,71.97,73.14,71.74,73.08,2086112.0
2016-09-19,73.21,73.56,72.98,73.52,1379985.0
2016-09-20,73.67,74.07,73.32,73.36,979122.0
2016-09-21,73.29,75.08,73.29,75.0,1551403.0
2016-09-22,75.36,75.59,74.835,75.51,1016842.0
2016-09-23,75.14,75.96,74.94,75.62,1399240.0
2016-09-26,75.64,75.82,75.28,75.55,1565066.0
2016-09-27,75.89,76.3,74.13,74.24,1769825.0
2016-09-28,73.95,74.18,72.98,73.7,1289632.0
2016-09-29,73.45,73.48,72.25,72.68,1311465.0
2016-09-30,73.03,73.53,71.91,72.25,1734361.0
2016-10-03,72.06,72.14,70.93,71.39,1707665.0
2016-10-04,71.31,71.31,69.47,69.89,2262514.0
2016-10-05,70.01,70.5,69.31,69.76,2705400.0
2016-10-06,69.52,70.12,69.21,69.82,1606336.0
2016-10-07,70.23,70.92,69.81,69.89,1533059.0
2016-10-10,70.08,70.37,69.65,70.26,1114547.0
2016-10-11,70.18,70.24,69.23,69.41,1420123.0
2016-10-12,69.55,70.22,69.55,70.06,1130622.0
2016-10-13,70.14,71.48,69.99,71.01,1531649.0
2016-10-14,70.69,71.42,70.29,70.85,1790056.0
2016-10-17,71.09,71.4,70.94,71.22,813894.0
2016-10-18,71.61,72.13,70.98,72.07,1885168.0
2016-10-19,72.07,72.33,71.495,72.02,2727979.0
2016-10-20,72.03,72.41,71.635,71.75,1508660.0
2016-10-21,71.38,71.65,70.49,70.9,1625069.0
2016-10-24,71.22,71.47,70.68,71.26,1191914.0
2016-10-25,71.1,71.685,70.97,71.62,1145408.0
2016-10-26,71.66,71.95,71.06,71.76,1054820.0
2016-10-27,71.46,71.72,70.88,71.41,861640.0
2016-10-28,71.51,72.04,71.39,71.88,826272.0
2016-10-31,71.97,73.81,71.48,73.48,1912187.0
2016-11-01,73.39,73.44,72.2,72.5,1871151.0
2016-11-02,72.29,72.33,70.08,70.7,1957150.0
2016-11-03,70.37,71.335,69.97,71.05,1229974.0
2016-11-04,71.45,72.11,70.29,70.31,1471377.0
2016-11-07,70.76,71.57,69.87,71.57,1367131.0
