Date,Open,High,Low,Close,Volume
2016-01-04,125.35,125.62,123.79,125.28,1531648.0
2016-01-05,125.52,127.54,125.35,127.09,1571401.0
2016-01-06,125.66,127.54,125.66,127.03,1354585.0
2016-01-07,125.42,126.9199,125.2,125.64,1112296.0
2016-01-08,125.85,127.4,125.585,126.18,1183053.0
2016-01-11,126.67,128.18,126.33,127.68,1192702.0
2016-01-12,128.12,128.69,127.39,128.4,1060101.0
2016-01-13,128.56,129.38,127.83,128.11,1400776.0
2016-01-14,128.23,128.99,127.19,127.32,1178317.0
2016-01-15,125.62,127.47,125.57,126.86,1290364.0
2016-01-19,127.57,129.14,126.94,127.64,788060.0
2016-01-20,126.25,127.37,123.7438,125.39,1725192.0
2016-01-21,125.37,126.3799,124.245,125.89,1287989.0
2016-01-22,126.86,127.98,125.78,127.59,822319.0
2016-01-25,126.33,127.42,124.95,125.04,1684323.0
2016-01-26,125.4,126.731,124.45,125.55,1574270.0
2016-01-27,125.53,126.16,124.15,124.64,1459921.0
2016-01-28,124.45,126.23,123.73,126.03,1148968.0
2016-01-29,126.87,129.47,125.98,129.05,2006130.0
2016-02-01,129.15,132.19,128.93,131.81,1319573.0
2016-02-02,131.06,131.71,128.64,129.09,1533285.0
2016-02-03,129.81,131.4,128.42,131.09,1832921.0
2016-02-04,131.56,131.59,124.21,124.71,2521796.0
2016-02-05,124.95,125.81,122.4,124.38,1733188.0
2016-02-08,123.6,127.58,123.28,127.04,1713031.0
2016-02-09,126.26,129.95,125.01,128.68,2273041.0
2016-02-10,129.09,130.93,127.41,127.91,1676147.0
2016-02-11,127.15,127.94,125.08,126.98,2280899.0
2016-02-12,128.04,128.67,126.69,127.54,1079324.0
2016-02-16,127.82,128.46,126.68,128.12,1017447.0
2016-02-17,128.1,130.32,127.75,129.42,1209956.0
2016-02-18,129.43,129.58,127.76,127.89,945183.0
2016-02-19,127.89,128.76,126.87,128.63,795573.0
2016-02-22,128.97,129.53,127.81,128.31,895276.0
2016-02-23,128.4,129.23,128.35,128.85,691642.0
2016-02-24,127.73,130.35,127.61,130.24,1096589.0
2016-02-25,130.5,131.5,130.11,131.45,907395.0
2016-02-26,130.59,131.18,127.3,127.82,1136450.0
2016-02-29,127.65,128.2,126.42,126.42,1104053.0
2016-03-01,126.57,127.1699,124.77,125.47,1645196.0
2016-03-02,125.2,126.2,124.1501,126.06,1304398.0
2016-03-03,126.05,126.05,124.4,125.59,1062195.0
2016-03-04,125.63,126.06,124.68,125.61,1359721.0
2016-03-07,125.4,125.5,123.0,123.46,1288913.0
2016-03-08,123.35,126.86,122.77,125.47,1346213.0
2016-03-09,125.85,126.67,124.99,125.22,1034463.0
2016-03-10,125.72,126.57,124.91,125.51,928603.0
2016-03-11,126.13,126.76,125.31,126.45,1021528.0
2016-03-14,126.45,126.95,125.57,125.94,947333.0
2016-03-15,125.51,127.09,125.3,126.7,787246.0
2016-03-16,125.86,128.17,125.64,127.4,1116069.0
2016-03-17,127.19,128.19,126.94,127.58,839099.0
2016-03-18,127.6,128.2,126.33,127.41,3776574.0
2016-03-21,127.41,128.19,126.53,127.45,864097.0
2016-03-22,127.45,127.94,126.0,126.32,831403.0
2016-03-23,126.4,127.88,126.32,127.08,815777.0
2016-03-24,126.91,127.58,126.195,126.56,874022.0
2016-03-28,126.76,128.14,126.76,127.55,571911.0
2016-03-29,128.04,128.75,127.39,128.0,632864.0
2016-03-30,128.15,128.44,127.19,127.97,924815.0
2016-03-31,127.71,128.23,125.79,126.06,1574565.0
2016-04-01,124.75,127.5,124.28,127.38,1196664.0
2016-04-04,127.49,128.15,126.61,127.64,1053962.0
2016-04-05,128.01,129.33,127.59,128.07,1502977.0
2016-04-06,128.04,129.59,127.91,129.41,1019426.0
2016-04-07,129.05,129.075,128.17,128.66,846043.0
2016-04-08,129.0,129.5,127.866,128.53,750510.0
2016-04-11,128.6,129.2099,128.0,128.16,746710.0
2016-04-12,128.09,128.42,127.31,128.17,659243.0
2016-04-13,128.44,128.63,125.5,126.14,1594033.0
2016-04-14,126.16,127.44,125.98,126.55,811262.0
2016-04-15,127.01,127.29,125.8,126.41,1162088.0
2016-04-18,125.58,126.62,125.03,126.5,786958.0
2016-04-19,126.57,126.92,126.0,126.56,675032.0
2016-04-20,126.38,126.67,124.77,124.8,1124695.0
2016-04-21,124.51,124.575,121.1,121.13,1309908.0
2016-04-22,120.65,122.51,119.23,122.45,1403186.0
2016-04-25,122.01,124.24,121.74,123.63,1101435.0
2016-04-26,123.64,124.8,123.64,123.76,1278017.0
2016-04-27,124.04,125.1334,123.31,124.78,1012570.0
2016-04-28,124.22,125.39,124.18,124.77,794341.0
2016-04-29,124.36,125.34,124.06,125.23,1282111.0
2016-05-02,125.25,127.01,124.85,126.96,1637186.0
2016-05-03,129.88,132.5,128.64,129.43,2943276.0
2016-05-04,129.01,129.6,127.8345,129.25,1661995.0
