Date,Open,High,Low,Close,Volume
2016-01-04,142.07,142.35,139.88,142.28,3096976.0
2016-01-04,142.07,142.35,139.88,142.28,3096976.0
2016-01-04,142.07,142.35,139.88,142.28,3096976.0
2016-01-04,142.07,142.35,139.88,142.28,3096976.0
2016-01-05,143.14,143.3,137.21,137.52,3817993.0
2016-01-06,134.57,136.06,132.28,133.29,5082351.0
2016-01-07,131.31,133.77,128.19,129.05,5005631.0
2016-01-08,130.03,133.46,128.06,128.2,6464148.0
2016-01-09,130.03,133.46,128.06,128.2,6464148.0
2016-01-10,130.03,133.46,128.06,128.2,6464148.0
2016-01-11,129.5,129.97,125.42,128.04,3894076.0
2016-01-12,129.86,131.67,126.855,129.92,4111206.0
2016-01-13,127.75,129.98,123.08,123.31,4846963.0
2016-01-14,124.19,126.6799,120.29,125.19,6394241.0
2016-01-15,120.21,123.79,119.3,119.97,7591645.0
2016-01-16,120.21,123.79,119.3,119.97,7591645.0
2016-01-17,120.21,123.79,119.3,119.97,7591645.0
2016-01-18,120.21,123.79,119.3,119.97,7591645.0
2016-01-19,122.76,124.8,119.01,120.07,5477260.0
2016-01-20,117.83,125.58,117.17,123.83,10398813.0
2016-01-21,124.8,126.0,123.35,124.53,4848109.0
2016-01-22,126.48,126.48,124.23,124.51,5843070.0
2016-01-23,126.48,126.48,124.23,124.51,5843070.0
2016-01-24,126.48,126.48,124.23,124.51,5843070.0
2016-01-25,124.43,124.98,124.0,124.49,6135937.0
2016-01-26,125.0,126.5075,124.0,124.39,11913374.0
2016-01-27,123.65,125.41,120.09,122.35,5815600.0
2016-01-28,122.94,126.55,122.0,126.37,4996916.0
2016-01-29,129.44,134.34,128.11,133.71,25944857.0
2016-01-30,129.44,134.34,128.11,133.71,25944857.0
2016-01-31,129.44,134.34,128.11,133.71,25944857.0
2016-02-01,133.34,138.69,132.96,137.68,4561892.0
2016-02-02,135.01,137.59,131.7,133.24,5900471.0
2016-02-03,137.25,137.61,130.29,131.36,5623382.0
2016-02-04,131.4,137.27,130.5,136.12,6083322.0
2016-02-05,137.0,137.0,126.98,128.36,7095317.0
2016-02-06,137.0,137.0,126.98,128.36,7095317.0
2016-02-07,137.0,137.0,126.98,128.36,7095317.0
2016-02-08,126.99,126.99,119.22,121.86,9124221.0
2016-02-09,119.83,125.72,118.77,119.71,6340018.0
2016-02-10,122.49,123.67,118.65,119.2,4547274.0
2016-02-11,116.5,117.64,114.25,116.31,6667322.0
2016-02-12,117.76,122.33,115.73,121.66,3996513.0
2016-02-13,117.76,122.33,115.73,121.66,3996513.0
2016-02-14,117.76,122.33,115.73,121.66,3996513.0
2016-02-15,117.76,122.33,115.73,121.66,3996513.0
2016-02-16,123.27,126.79,122.95,126.24,3852097.0
2016-02-17,127.0,130.82,126.73,130.68,3274208.0
2016-02-18,131.76,131.991,126.08,127.07,3920177.0
2016-02-19,127.05,128.79,125.0,128.67,3111806.0
2016-02-20,127.05,128.79,125.0,128.67,3111806.0
2016-02-21,127.05,128.79,125.0,128.67,3111806.0
2016-02-22,130.0,132.43,129.49,130.64,2420365.0
2016-02-23,130.16,130.5,128.06,128.16,2235165.0
2016-02-24,126.51,131.25,125.41,130.34,2567965.0
2016-02-25,130.78,132.49,128.69,132.47,2565226.0
2016-02-26,134.2,134.97,132.25,133.11,2714154.0
2016-02-27,134.2,134.97,132.25,133.11,2714154.0
2016-02-28,134.2,134.97,132.25,133.11,2714154.0
2016-02-29,133.34,137.92,132.9,133.97,3591092.0
2016-03-01,135.37,138.64,134.62,138.43,4490578.0
2016-03-02,137.85,138.24,135.05,136.97,4383586.0
2016-03-03,137.75,138.85,134.3,137.33,5943719.0
2016-03-04,146.0,147.86,141.72,146.06,7239892.0
2016-03-05,146.0,147.86,141.72,146.06,7239892.0
2016-03-06,146.0,147.86,141.72,146.06,7239892.0
2016-03-07,144.76,146.23,140.57,143.51,4139574.0
2016-03-08,142.29,142.82,139.41,139.63,3242849.0
2016-03-09,140.75,142.53,140.471,141.96,3115229.0
2016-03-10,143.46,145.8,142.0,144.42,5454629.0
2016-03-11,145.99,150.02,145.75,148.82,5582161.0
2016-03-12,145.99,150.02,145.75,148.82,5582161.0
2016-03-13,145.99,150.02,145.75,148.82,5582161.0
2016-03-14,147.11,149.19,147.0,148.14,2844425.0
2016-03-15,148.5,149.98,146.08,148.47,3089141.0
2016-03-16,147.46,149.27,146.85,148.63,3490583.0
2016-03-17,147.37,151.72,147.37,151.55,4470822.0
2016-03-18,151.94,153.0,150.87,152.49,7056844.0
2016-03-19,151.94,153.0,150.87,152.49,7056844.0
2016-03-20,151.94,153.0,150.87,152.49,7056844.0
2016-03-21,152.59,153.0,150.83,152.89,2820679.0
2016-03-22,152.4,155.61,151.55,154.76,3394481.0
2016-03-23,154.82,155.32,152.34,152.99,2757731.0
2016-03-24,151.76,153.29,151.12,153.0,2565064.0
2016-03-25,151.76,153.29,151.12,153.0,2565064.0
2016-03-26,151.76,153.29,151.12,153.0,2565064.0
2016-03-27,151.76,153.29,151.12,153.0,2565064.0
2016-03-28,153.28,153.5,152.07,153.1,1722440.0
2016-03-29,153.27,154.93,152.18,154.13,2677251.0
2016-03-30,155.0,157.28,154.54,156.93,2679419.0
2016-03-31,157.02,157.37,154.45,154.5,2496805.0
2016-04-01,154.04,157.92,151.16,157.8,2567076.0
2016-04-02,154.04,157.92,151.16,157.8,2567076.0
2016-04-03,154.04,157.92,151.16,157.8,2567076.0
2016-04-04,158.0,158.328,155.66,156.01,1776139.0
2016-04-05,154.45,157.05,154.45,155.03,5691998.0
2016-04-06,154.7,157.77,153.71,157.54,2814894.0
2016-04-07,157.48,157.95,154.69,154.97,2297509.0
2016-04-08,156.28,156.9,154.64,156.15,1852553.0
2016-04-09,156.28,156.9,154.64,156.15,1852553.0
2016-04-10,156.28,156.9,154.64,156.15,1852553.0
2016-04-11,157.43,157.8,155.6,155.61,1856812.0
2016-04-12,156.01,156.37,153.0,155.43,1653719.0
2016-04-13,156.47,159.65,155.6101,159.48,2173044.0
2016-04-14,157.29,159.11,156.0,158.82,2755135.0
2016-04-15,158.13,158.34,154.52,155.49,2768497.0
2016-04-16,158.13,158.34,154.52,155.49,2768497.0
2016-04-17,158.13,158.34,154.52,155.49,2768497.0
2016-04-18,155.35,156.4,153.81,155.9,1529690.0
2016-04-19,156.45,156.7658,150.7894,151.07,2456039.0
2016-04-20,151.46,154.0999,150.4007,153.23,1943543.0
2016-04-21,152.9,153.28,150.4458,151.35,1611670.0
2016-04-22,150.4,152.94,148.73,150.33,2569914.0
2016-04-23,150.4,152.94,148.73,150.33,2569914.0
2016-04-24,150.4,152.94,148.73,150.33,2569914.0
2016-04-25,150.25,150.86,148.77,149.1,1087065.0
2016-04-26,151.49,154.11,150.04,150.76,2630941.0
2016-04-27,147.21,153.36,146.5,151.53,3893442.0
2016-04-28,150.39,154.02,147.33,147.99,2552027.0
2016-04-29,146.31,147.79,143.25,145.75,3506716.0
2016-04-30,146.31,147.79,143.25,145.75,3506716.0
2016-05-01,146.31,147.79,143.25,145.75,3506716.0
2016-05-02,146.16,146.83,144.495,146.08,1952538.0
2016-05-03,145.1,145.99,142.33,143.2,2398598.0
2016-05-04,142.51,144.42,141.27,142.07,2088845.0
2016-05-05,143.82,144.9,142.09,142.58,1684068.0
2016-05-06,141.76,142.5005,139.18,141.89,3002669.0
2016-05-07,141.76,142.5005,139.18,141.89,3002669.0
2016-05-08,141.76,142.5005,139.18,141.89,3002669.0
2016-05-09,142.0,143.92,141.26,142.4,1730027.0
2016-05-10,142.5,145.14,141.5,144.61,1846077.0
2016-05-11,144.09,146.22,143.51,143.85,1671570.0
2016-05-12,144.07,144.73,139.52,141.04,2645211.0
2016-05-13,140.94,143.13,139.62,140.05,2171649.0
2016-05-14,140.94,143.13,139.62,140.05,2171649.0
2016-05-15,140.94,143.13,139.62,140.05,2171649.0
2016-05-16,140.87,143.62,140.69,142.65,2037262.0
2016-05-17,142.51,142.99,139.88,141.17,2124848.0
2016-05-18,140.53,145.05,140.33,143.88,2262007.0
2016-05-19,143.03,144.66,141.12,142.74,1747768.0
2016-05-20,144.13,147.67,143.71,146.73,2588947.0
2016-05-21,144.13,147.67,143.71,146.73,2588947.0
2016-05-22,144.13,147.67,143.71,146.73,2588947.0
2016-05-23,148.19,150.335,147.88,148.1,1760859.0
2016-05-24,148.6,151.68,148.35,151.42,1990685.0
2016-05-25,151.84,154.0,150.49,153.57,2176249.0
2016-05-26,153.77,154.25,151.82,153.02,1843135.0
2016-05-27,153.0,153.93,152.46,153.3,1869337.0
2016-05-28,153.0,153.93,152.46,153.3,1869337.0
2016-05-29,153.0,153.93,152.46,153.3,1869337.0
2016-05-30,153.0,153.93,152.46,153.3,1869337.0
2016-05-31,154.0,154.95,153.3,154.36,3205806.0
2016-06-01,153.41,155.32,153.34,154.77,3077737.0
2016-06-02,155.21,155.52,153.387,154.91,4674643.0
2016-06-03,165.77,166.0,161.2,162.56,8298517.0
2016-06-04,165.77,166.0,161.2,162.56,8298517.0
2016-06-05,165.77,166.0,161.2,162.56,8298517.0
2016-06-06,163.4,163.94,161.02,162.84,3400956.0
2016-06-07,163.34,165.95,162.81,164.84,3233976.0
2016-06-08,164.09,164.62,163.34,163.7,2562015.0
2016-06-09,162.14,165.05,162.12,164.14,2914348.0
2016-06-10,162.17,162.98,160.0,160.82,2665686.0
2016-06-11,162.17,162.98,160.0,160.82,2665686.0
2016-06-12,162.17,162.98,160.0,160.82,2665686.0
2016-06-13,160.14,162.25,159.635,160.01,2156768.0
2016-06-14,159.27,160.5299,158.13,158.99,2566852.0
2016-06-15,158.82,160.12,158.18,158.4,3088403.0
2016-06-16,157.05,158.84,155.6,158.63,2280814.0
2016-06-17,158.97,159.75,154.93,156.0,4333260.0
2016-06-18,158.97,159.75,154.93,156.0,4333260.0
2016-06-19,158.97,159.75,154.93,156.0,4333260.0
2016-06-20,158.4,159.6,156.69,156.93,2026468.0
2016-06-21,157.61,158.4,155.61,155.81,1612638.0
2016-06-22,155.73,157.17,154.8,155.14,1603937.0
2016-06-23,157.35,158.63,155.97,158.62,2443529.0
2016-06-24,152.0,154.87,148.4,148.72,6417723.0
2016-06-25,152.0,154.87,148.4,148.72,6417723.0
2016-06-26,152.0,154.87,148.4,148.72,6417723.0
2016-06-27,146.5,147.25,142.27,143.63,3798294.0
2016-06-28,146.7,149.93,146.58,149.77,3723288.0
2016-06-29,152.01,155.65,150.78,155.0,4786602.0
2016-06-30,155.0,157.239,154.17,155.4,4262645.0
2016-07-01,154.47,155.87,153.62,154.22,1977927.0
2016-07-02,154.47,155.87,153.62,154.22,1977927.0
2016-07-03,154.47,155.87,153.62,154.22,1977927.0
2016-07-04,154.47,155.87,153.62,154.22,1977927.0
2016-07-05,151.58,151.71,149.53,150.76,2632054.0
2016-07-06,149.36,151.27,147.16,150.63,2060327.0
2016-07-07,150.14,153.0,150.14,150.99,1924823.0
2016-07-08,152.65,155.251,151.935,155.14,2674071.0
2016-07-09,152.65,155.251,151.935,155.14,2674071.0
2016-07-10,152.65,155.251,151.935,155.14,2674071.0
2016-07-11,157.1,158.47,156.28,157.36,2520052.0
2016-07-12,158.58,160.91,158.25,158.59,2032892.0
2016-07-13,158.91,160.38,157.34,157.41,1573437.0
2016-07-14,159.55,161.06,158.86,160.79,2355047.0
2016-07-15,161.11,161.57,159.66,161.16,1925944.0
2016-07-16,161.11,161.57,159.66,161.16,1925944.0
2016-07-17,161.11,161.57,159.66,161.16,1925944.0
2016-07-18,162.42,163.695,161.95,162.33,1462578.0
2016-07-19,161.47,162.0,159.79,160.53,1479711.0
2016-07-20,161.6,163.77,160.916,162.67,1806355.0
2016-07-21,163.01,163.48,159.82,160.41,1952999.0
2016-07-22,159.59,160.3,156.69,159.67,1966387.0
2016-07-23,159.59,160.3,156.69,159.67,1966387.0
2016-07-24,159.59,160.3,156.69,159.67,1966387.0
2016-07-25,159.64,160.7,159.27,159.78,962660.0
2016-07-26,161.41,163.5,160.37,163.44,2863107.0
2016-07-27,165.94,167.6,162.71,165.66,3049268.0
2016-07-28,165.0,166.965,163.917,164.23,1951227.0
2016-07-29,163.93,164.65,161.1,161.98,2602995.0
2016-07-30,163.93,164.65,161.1,161.98,2602995.0
2016-07-31,163.93,164.65,161.1,161.98,2602995.0
2016-08-01,162.78,163.88,161.9,163.51,1787629.0
2016-08-02,163.1,163.988,162.27,162.89,2268947.0
2016-08-03,161.88,164.15,161.2803,164.11,1501908.0
2016-08-04,164.27,167.0,164.2001,166.99,1997836.0
2016-08-05,167.95,170.2,167.23,170.12,2559378.0
2016-08-06,167.95,170.2,167.23,170.12,2559378.0
2016-08-07,167.95,170.2,167.23,170.12,2559378.0
2016-08-08,170.0,171.23,167.855,168.35,1908431.0
2016-08-09,168.94,172.17,168.7,171.17,3274632.0
2016-08-10,171.22,172.18,169.84,171.85,1952273.0
2016-08-11,172.07,173.155,170.9,172.09,1574547.0
2016-08-12,172.13,172.62,171.375,172.47,1652995.0
2016-08-13,172.13,172.62,171.375,172.47,1652995.0
2016-08-14,172.13,172.62,171.375,172.47,1652995.0
2016-08-15,173.37,175.81,172.5,175.54,2580707.0
2016-08-16,174.81,174.99,172.1,172.4,1907026.0
2016-08-17,172.25,173.28,171.76,173.03,1661619.0
2016-08-18,172.82,174.18,172.64,173.93,2112025.0
2016-08-19,174.18,175.055,173.43,174.93,1534854.0
2016-08-20,174.18,175.055,173.43,174.93,1534854.0
2016-08-21,174.18,175.055,173.43,174.93,1534854.0
2016-08-22,175.0,176.31,174.06,175.93,1539796.0
2016-08-23,176.72,177.47,176.12,177.34,1974111.0
2016-08-24,177.57,177.69,174.365,175.3,2180493.0
2016-08-25,175.52,177.14,174.69,176.04,1873457.0
2016-08-26,176.83,178.65,175.13,177.16,2258599.0
2016-08-27,176.83,178.65,175.13,177.16,2258599.0
2016-08-28,176.83,178.65,175.13,177.16,2258599.0
2016-08-29,177.3,178.68,176.9,177.4,1672604.0
2016-08-30,178.16,179.42,175.94,177.0,2783751.0
2016-08-31,177.1,178.32,175.35,176.42,3275275.0
2016-09-01,176.88,177.67,174.82,177.09,3912777.0
2016-09-02,177.0,177.34,168.8,173.11,8066808.0
2016-09-03,177.0,177.34,168.8,173.11,8066808.0
2016-09-04,177.0,177.34,168.8,173.11,8066808.0
2016-09-05,177.0,177.34,168.8,173.11,8066808.0
2016-09-06,173.62,174.0,169.64,171.1,3613186.0
2016-09-07,171.42,172.0,167.71,168.9,3143730.0
2016-09-08,168.39,168.83,166.56,168.38,1868012.0
2016-09-09,166.33,167.05,160.67,160.78,4502242.0
2016-09-10,166.33,167.05,160.67,160.78,4502242.0
2016-09-11,166.33,167.05,160.67,160.78,4502242.0
2016-09-12,159.13,164.75,158.7501,164.48,3567319.0
2016-09-13,164.48,167.36,164.3,165.24,3600296.0
2016-09-14,165.23,169.929,165.05,169.61,4035813.0
2016-09-15,169.33,173.0,168.2,172.72,3633051.0
2016-09-16,172.42,172.99,169.85,171.24,8306671.0
2016-09-17,172.42,172.99,169.85,171.24,8306671.0
2016-09-18,172.42,172.99,169.85,171.24,8306671.0
2016-09-19,171.55,173.58,169.4,170.73,2830627.0
2016-09-20,172.21,172.21,168.17,168.23,1872728.0
2016-09-21,168.39,170.02,167.61,169.83,1797720.0
2016-09-22,170.97,171.25,168.07,168.84,2061938.0
2016-09-23,168.7,169.03,165.51,166.65,2687474.0
2016-09-24,168.7,169.03,165.51,166.65,2687474.0
2016-09-25,168.7,169.03,165.51,166.65,2687474.0
2016-09-26,165.1,167.23,162.76,166.69,3203442.0
2016-09-27,166.89,170.88,166.015,170.86,2535318.0
2016-09-28,171.78,172.71,169.78,170.7,2084273.0
2016-09-29,170.0,173.99,169.49,172.46,3857023.0
2016-09-30,173.0,174.65,172.44,172.52,3421991.0
2016-10-01,173.0,174.65,172.44,172.52,3421991.0
2016-10-02,173.0,174.65,172.44,172.52,3421991.0
2016-10-03,173.01,173.8875,169.72,170.07,2280700.0
2016-10-04,170.61,170.9,168.08,169.05,1959626.0
2016-10-05,171.5,174.11,170.68,173.48,2614888.0
2016-10-06,173.3,174.65,171.26,174.19,2101366.0
2016-10-07,174.88,174.95,172.39,174.21,2184473.0
2016-10-08,174.88,174.95,172.39,174.21,2184473.0
2016-10-09,174.88,174.95,172.39,174.21,2184473.0
2016-10-10,174.73,175.9,173.755,174.77,1633642.0
2016-10-11,175.29,175.495,169.53,171.17,2618132.0
2016-10-12,170.75,171.06,168.4,170.47,2174039.0
2016-10-13,168.77,169.9,166.8,168.94,2237471.0
2016-10-14,169.98,172.64,169.34,170.09,1957043.0
2016-10-15,169.98,172.64,169.34,170.09,1957043.0
2016-10-16,169.98,172.64,169.34,170.09,1957043.0
2016-10-17,169.7,170.95,168.73,168.88,1274137.0
2016-10-18,170.65,172.87,170.54,172.17,1416656.0
2016-10-19,171.17,172.28,170.1107,171.87,2044075.0
2016-10-20,171.66,174.58,171.02,173.41,1896129.0
2016-10-21,172.29,173.4,170.7,172.92,1584206.0
2016-10-22,172.29,173.4,170.7,172.92,1584206.0
2016-10-23,172.29,173.4,170.7,172.92,1584206.0
2016-10-24,174.16,177.0,173.5568,176.55,1977179.0
2016-10-25,176.03,176.4999,173.51,173.65,2162186.0
2016-10-26,172.15,174.78,171.1,173.0,2107469.0
2016-10-27,174.31,175.25,171.78,172.24,1984012.0
2016-10-28,172.49,172.87,169.04,169.35,2065137.0
2016-10-29,172.49,172.87,169.04,169.35,2065137.0
2016-10-30,172.49,172.87,169.04,169.35,2065137.0
2016-10-31,170.0,171.66,168.69,170.28,2031684.0
2016-11-01,170.72,171.55,165.83,168.8,2845259.0
2016-11-02,172.91,174.15,169.81,172.56,4350126.0
2016-11-03,172.45,175.34,172.15,172.99,2066018.0
2016-11-04,170.4,174.53,170.23,172.17,2175330.0
2016-11-05,170.4,174.53,170.23,172.17,2175330.0
2016-11-06,170.4,174.53,170.23,172.17,2175330.0
2016-11-07,174.39,177.88,174.11,176.96,2612620.0
2016-11-08,177.07,178.02,175.11,177.0,1892572.0
2016-11-09,171.47,176.49900000000002,171.16,173.42,3250626.0
2016-11-10,173.72,174.5,163.3001,167.94,5121963.0
2016-11-11,164.44,170.0,165.73,167.54,2979792.0
2016-11-12,164.44,170.0,165.73,167.54,2979792.0
2016-11-13,164.44,170.0,165.73,167.54,2979792.0
2016-11-14,166.47,167.77,163.02,163.78,2819267.0
2016-11-15,164.83,167.5,163.61,166.45,2537964.0
2016-11-16,166.3,168.17,165.75,167.83,1333323.0
2016-11-17,167.35,169.02,166.02,167.04,1809965.0
2016-11-18,166.75,169.16,166.75,168.16,1952417.0
2016-11-19,166.75,169.16,166.75,168.16,1952417.0
2016-11-20,166.75,169.16,166.75,168.16,1952417.0
2016-11-21,169.13,172.76,169.13,172.58,2138363.0
2016-11-22,173.72,177.42,173.31,177.02,3102357.0
2016-11-23,176.36,177.76,175.2401,177.08,2212311.0
2016-11-24,176.36,177.76,175.2401,177.08,2212311.0
2016-11-25,176.78,177.02,175.57,176.75,819822.0
2016-11-26,176.78,177.02,175.57,176.75,819822.0
2016-11-27,176.78,177.02,175.57,176.75,819822.0
2016-11-28,176.06,177.07,174.54,174.65,2657011.0
2016-11-29,173.86,176.98,173.43,175.45,1851362.0
2016-11-30,175.12,175.9,170.44,170.49,3124889.0
2016-12-01,170.01,170.49,161.21,162.79,4638921.0
2016-12-02,163.57,164.92,160.62,164.22,2694460.0
2016-12-03,163.57,164.92,160.62,164.22,2694460.0
2016-12-04,163.57,164.92,160.62,164.22,2694460.0
2016-12-05,166.01,166.61,162.4,166.13,2137190.0
2016-12-06,166.81,167.97,163.45,164.76,3918437.0
2016-12-07,164.76,168.55,163.67,168.55,3265865.0
2016-12-08,169.55,171.38,167.51,170.71,3836144.0
2016-12-09,180.95,181.9,176.9,179.09,7574371.0
2016-12-10,180.95,181.9,176.9,179.09,7574371.0
2016-12-11,180.95,181.9,176.9,179.09,7574371.0
2016-12-12,178.05,180.77,176.56,178.16,3719406.0
2016-12-13,178.74,181.94,178.0,179.44,6907596.0
2016-12-14,178.75,179.22,176.23,177.62,4679547.0
2016-12-15,178.31,181.2,176.57,180.01,3810711.0
2016-12-16,180.75,181.09,177.48,178.42,4154101.0
2016-12-17,180.75,181.09,177.48,178.42,4154101.0
2016-12-18,180.75,181.09,177.48,178.42,4154101.0
2016-12-19,179.07,181.41,178.12,180.46,2221941.0
2016-12-20,181.0,183.28,180.14,182.07,2735181.0
2016-12-21,183.73,183.99,181.78,182.29,2101293.0
2016-12-22,182.85,183.0,179.38,180.6,1756029.0
2016-12-23,180.05,181.98,179.66,181.94,897680.0
2016-12-24,180.05,181.98,179.66,181.94,897680.0
2016-12-25,180.05,181.98,179.66,181.94,897680.0
2016-12-26,180.05,181.98,179.66,181.94,897680.0
2016-12-27,182.11,183.7,182.05,182.31,828356.0
2016-12-28,182.64,183.0,179.84,180.19,1403886.0
2016-12-29,179.7,180.67,178.63,179.87,1367100.0
2016-12-30,180.37,180.9,176.02,176.77,2542386.0
2016-12-31,180.37,180.9,176.02,176.77,2542386.0
2017-01-01,180.37,180.9,176.02,176.77,2542386.0
2017-01-02,180.37,180.9,176.02,176.77,2542386.0
2017-01-03,178.29,180.9,176.54,178.34,3209813.0
2017-01-04,178.26,179.0,176.68,177.07,2396470.0
2017-01-05,176.33,177.0,173.88,174.28,2486093.0
2017-01-06,174.21,176.9,173.31,176.59,2314304.0
2017-01-07,174.21,176.9,173.31,176.59,2314304.0
2017-01-08,174.21,176.9,173.31,176.59,2314304.0
2017-01-09,176.65,178.3,176.64,176.97,2026589.0
2017-01-10,177.49,180.74,176.9,180.57,3018327.0
2017-01-11,180.05,180.47,177.76,179.42,1878705.0
2017-01-12,178.09,179.1,175.4,178.86,2313737.0
2017-01-13,178.9,180.78,178.39,180.45,2090697.0
2017-01-14,178.9,180.78,178.39,180.45,2090697.0
2017-01-15,178.9,180.78,178.39,180.45,2090697.0
2017-01-16,178.9,180.78,178.39,180.45,2090697.0
2017-01-17,179.48,179.63,177.56,179.11,2631606.0
2017-01-18,180.36,185.07,180.0,185.02,3564175.0
2017-01-19,185.1,186.88,184.68,185.56,4571813.0
2017-01-20,188.6,191.535,188.1,191.08,5762335.0
2017-01-21,188.6,191.535,188.1,191.08,5762335.0
2017-01-22,188.6,191.535,188.1,191.08,5762335.0
2017-01-23,191.01,191.53,188.42,191.0,3339436.0
2017-01-24,192.72,199.64,192.28,197.75,6200772.0
2017-01-25,199.92,202.59,198.03,202.48,6090259.0
2017-01-26,204.44,205.27,201.13,204.17,3882680.0
2017-01-27,205.38,205.79,203.54,205.71,2578653.0
2017-01-28,205.38,205.79,203.54,205.71,2578653.0
2017-01-29,205.38,205.79,203.54,205.71,2578653.0
2017-01-30,204.45,204.87,200.61,203.22,3323406.0
2017-01-31,202.47,202.47,198.86,199.5,2674941.0
2017-02-01,202.25,204.48,200.21,203.69,3118392.0
2017-02-02,201.97,205.03,201.0,204.05,2271170.0
2017-02-03,204.95,206.6,203.03,206.16,2437317.0
2017-02-04,204.95,206.6,203.03,206.16,2437317.0
2017-02-05,204.95,206.6,203.03,206.16,2437317.0
2017-02-06,206.15,206.66,204.3,206.56,1871607.0
2017-02-07,207.21,207.4,204.93,205.91,2284021.0
2017-02-08,205.97,208.75,205.16,206.89,2106897.0
2017-02-09,207.33,207.69,203.63,205.34,2751924.0
2017-02-10,206.0,206.5,203.85,205.52,2384206.0
2017-02-11,206.0,206.5,203.85,205.52,2384206.0
2017-02-12,206.0,206.5,203.85,205.52,2384206.0
2017-02-13,206.78,207.11,205.17,206.71,1246341.0
2017-02-14,206.99,207.0,204.8,205.33,1735780.0
2017-02-15,205.82,206.935,204.8,205.99,1708766.0
2017-02-16,206.46,208.22,205.175,208.18,1718799.0
